Address,Balance
0x62050bba84b05c653628c5c0e15f7d11150a35ff453589c36ad12bc0c4fd7e15,109864259340648
0xbab8526a9eb7403a444fcc1f73bf02d8f94dafd3c88a02b5736a1a77fafe4169,107621648537116
0xa20ce9dd88451811a079879d9ec198aa744a6301074e014b266fddf5a0d96aae,5000000000003
0x433c755677778eec6b9dddf11464af71e7c5253bdfd145699f09a8bbb6574417,15748388389
0xe59f0ca2fa640ea2a1d1b35b4645c323535ed182595d091b9f4225bbe7617262,14499786420
0xec5aeaa495bc6564bd760271f36fde4ed1589f9d33f0bcf9028c3418957da6a6,11999823244
0xba3fdb5419eff135ca17d27d2d5b93f58f9a7a4207d4bcda007a51388efe187a,9209742088
0x6b42736f2e1469356c3314831f2e76c2f70533be8f7f69fce6abe5769e8e61b2,7278584139
0xd4f81651e84128ac4e0313bf3c3bf82c0211c79a581c3a89b8b56d8f98428820,3557524882
0x53e2555324ecbcf9cc400ed61367d7eec98adb2257e5dc076049a5f9446454d8,2758603354
0xc97bc1a779205c617ba03c0f4e5a27e5ac7fbee6bed320657306237e9f5c8445,2656907614
0xa90b47df9574db54efe93167b73ccee8c8dc191f05468b75c377d6126e71a846,2431678712
0x16b035d43a81ab56a17d64ec74f651646dbb98fe789efde8ec1789b510b23333,2315088582
0xc0fcad7bb54c8035d0ccb6939977970070591b50a8dea72f97031881c9918e9a,2255088193
0xc43dbf1138618467a25e439e476b7f0af857df6bcf5a194b6eaa0045fae59786,1809973340
0xe94c76cf1f674b77b95d7f781d5eebfc9f0cc4f2e330c5f86f38080af59a81b4,1499977906
0x3c264b5cd4ececbf4554192365b48303fb9b310277186c333892344961b0337f,1100000000
0x7ac6f8557154fa824559d4721076c8d853ddc96141426c88218641fddb3b082e,958956755
0xeb11cf5bcc97788da0fd8e0acb16bf244df317c925b230d73ad7330cc4480685,805704136
0xa81e5f7abd02c3d0a1e3476f353bf074375457161db26f91f759b99d630e1593,797739852
0x68564550abdba28babeec2aa4cdd489392b84deb3b29dd3a087ef4fb963fe868,602453074
0xd026b2a4924b42fb27b080520fcacfc91f9f94d79b6447090e0842890ac626e1,499992636
0xbf6893f4666bc922770e33cb1c3d1f8f13a3635aeef2abbfd8e21c09812c5ebe,399994109
0xc0de34459b7d718e8b5d9737742203f0eee4bd3dedcc4db370bb2c26aeb28923,307999944
